Symbol,EntryDate,Price,EMA9,EMA30,EMA200,BBUpper
SYRMA,2026-09-18,1617.7,1553.96,1496.16,1120.52,1648.58
MCX,2026-09-18,3211.2,3254.8,3156.84,2642.94,3413.16
PNBHOUSING,2026-09-18,1103.5,1146.35,1144.15,1005.56,1200.96
NIACL,2026-09-18,197.05,195.83,191.98,172.3,222.8
WELCORP,2026-09-18,2460.3,2526.83,2324.02,1428.58,2771.93
ATHERENERG,2026-09-18,1550.0,1593.41,1533.01,1047.76,1753.02
SOLARINDS,2026-09-18,18815.0,20445.72,20295.08,16611.0,23143.92
CHENNPETRO,2026-09-18,1414.1,1482.49,1418.67,1114.1,1610.5
GRAPHITE,2026-09-18,814.1,793.49,745.97,662.49,854.86
SONACOMS,2026-09-18,777.9,787.1,785.36,623.08,826.4
IDEA,2026-09-18,14.22,14.65,14.42,12.18,15.71
BHEL,2026-09-18,429.2,424.03,421.82,347.61,442.81
PFOCUS,2026-09-18,320.45,311.06,297.07,257.87,326.78
FINCABLES,2026-09-18,1395.8,1358.36,1274.0,1001.13,1443.5
APARINDS,2026-09-18,17801.0,17335.17,16860.93,12643.84,18105.46
YESBANK,2026-09-18,23.13,23.0,22.82,22.2,23.52
GVT&D,2026-09-18,4341.0,4399.98,4390.46,3949.02,4698.93
ADANIPORTS,2026-09-18,1738.3,1731.28,1719.95,1618.48,1792.88
IDFCFIRSTB,2026-09-18,86.33,85.84,85.17,79.08,87.85
WELSPUNLIV,2026-09-18,202.82,204.19,191.08,151.04,216.12
NYKAA,2026-09-18,323.75,334.42,333.28,289.55,349.4
OFSS,2026-09-18,11620.0,11733.43,11725.0,9695.5,12382.18
FLUOROCHEM,2026-09-18,4471.8,4631.08,4604.07,3932.28,4847.69
MOTHERSON,2026-09-18,161.87,161.92,161.83,136.47,170.6
RBLBANK,2026-09-18,404.15,405.6,395.09,344.88,424.58
BEML,2026-09-18,1991.9,2012.18,1961.78,1854.58,2125.09
BAJAJ-AUTO,2026-09-18,11593.0,11698.14,11651.1,10281.52,12235.3
CGCL,2026-09-18,256.65,262.74,251.93,210.57,288.63
AEGISLOG,2026-09-18,1353.8,1333.89,1308.5,983.47,1408.91
CARTRADE,2026-09-18,2885.3,3012.05,2950.01,2560.47,3216.94
ACUTAAS,2026-09-18,3315.1,3306.44,3278.41,2624.65,3433.11
MOTILALOFS,2026-09-18,976.5,1010.61,989.18,898.18,1065.75
BOSCHLTD,2026-09-18,47555.0,47988.29,46880.22,40098.26,49859.94
NAVINFLUOR,2026-09-18,8220.0,8408.12,8338.54,6976.01,8897.78
GESHIP,2026-09-18,1425.1,1394.07,1369.08,1309.2,1437.39
CUB,2026-09-18,231.82,229.09,225.29,206.42,240.62
JINDALSAW,2026-09-18,281.25,300.77,292.71,232.2,327.79
SHYAMMETL,2026-09-18,1048.0,1064.42,1044.53,933.81,1124.61
ENGINERSIN,2026-09-18,263.75,266.39,258.01,225.34,289.25
TATACOMM,2026-09-18,1799.3,1757.45,1746.23,1736.9,1804.71
ABDL,2026-09-18,647.55,624.81,617.34,579.21,642.64
PTCIL,2026-09-18,22500.0,22728.1,21285.24,18297.59,24673.92
OIL,2026-09-18,477.4,487.06,478.99,455.33,504.35
ACMESOLAR,2026-09-18,418.0,408.7,395.95,316.25,421.05
BALRAMCHIN,2026-09-18,675.7,686.49,671.24,549.77,726.66
KPIL,2026-09-18,1390.9,1403.74,1382.98,1269.3,1431.25
RKFORGE,2026-09-18,705.45,706.72,705.12,601.69,756.14
CRAFTSMAN,2026-09-18,11040.0,11305.26,10839.77,8678.3,11882.47
ANANDRATHI,2026-09-18,2206.2,2200.04,2165.24,1816.71,2227.87
ABSLAMC,2026-09-18,1090.1,1069.71,1052.66,960.3,1113.54
KPRMILL,2026-09-18,1121.4,1132.45,1125.88,1029.52,1184.66
ZYDUSWELL,2026-09-18,546.15,548.85,540.56,495.61,573.26
INDGN,2026-09-18,591.75,582.59,572.89,528.77,613.06
SPLPETRO,2026-09-18,792.7,790.21,751.82,708.51,850.37
KAJARIACER,2026-09-18,1215.9,1228.45,1224.17,1133.32,1262.63
THELEELA,2026-09-18,524.2,539.3,533.27,464.8,579.12
SYRMA,2026-09-22,1728.9,1593.78,1518.19,1127.74,1701.57
PAYTM,2026-09-22,1849.9,1767.14,1656.65,1336.92,1844.37
REDINGTON,2026-09-22,399.85,388.41,363.59,290.08,405.73
PFOCUS,2026-09-22,344.35,322.04,303.3,260.29,338.52
APARINDS,2026-09-22,18858.0,17650.34,17032.56,12737.74,18442.94
MAHABANK,2026-09-22,83.54,82.56,82.54,73.57,87.23
ADANIPORTS,2026-09-22,1824.0,1750.1,1726.35,1620.19,1812.77
HINDZINC,2026-09-22,596.0,582.18,581.91,567.1,625.62
AEGISLOG,2026-09-22,1415.4,1350.19,1315.4,983.0,1408.24
JSWINFRA,2026-09-22,348.25,335.91,334.78,301.26,350.55
ACMESOLAR,2026-09-22,435.25,414.42,399.41,317.18,427.98
KPIL,2026-09-22,1445.5,1413.81,1392.5,1273.75,1444.52
