Symbol,EntryDate,EntryPrice,Quantity,Capital,ExitDate,ExitPrice,PnL,PnL%,DaysHeld,ExitReason,TrackType
SYRMA,2026-09-18,1617.7,6,9706.2,2026-09-22,1728.9,667.2,6.87,4,Price at/above BB Upper (1701.57),Paper
PFOCUS,2026-09-18,320.45,31,9933.95,2026-09-22,344.35,740.9,7.46,4,Price at/above BB Upper (338.52),Paper
APARINDS,2026-09-18,17801.0,1,17801.0,2026-09-22,18858.0,1057.0,5.94,4,Price at/above BB Upper (18442.94),Paper
ADANIPORTS,2026-09-18,1738.3,5,8691.5,2026-09-22,1824.0,428.5,4.93,4,Price at/above BB Upper (1812.77),Paper
AEGISLOG,2026-09-18,1353.8,7,9476.6,2026-09-22,1415.4,431.2,4.55,4,Price at/above BB Upper (1408.24),Paper
ACMESOLAR,2026-09-18,418.0,23,9614.0,2026-09-22,435.25,396.75,4.13,4,Price at/above BB Upper (427.98),Paper
KPIL,2026-09-18,1390.9,7,9736.3,2026-09-22,1445.5,382.2,3.93,4,Price at/above BB Upper (1444.52),Paper
ENGINERSIN,2026-09-18,263.75,37,9758.75,2026-09-23,302.55,1435.6,14.71,5,Price at/above BB Upper (296.09),Paper
AEGISLOG,2026-09-22,1415.4,7,9907.8,2026-09-23,1486.0,494.2,4.99,1,Price at/above BB Upper (1441.46),Paper
JSWINFRA,2026-09-22,348.25,28,9751.0,2026-09-23,367.6,541.8,5.56,1,Price at/above BB Upper (358.14),Paper
ACMESOLAR,2026-09-22,435.25,22,9575.5,2026-09-23,458.1,502.7,5.25,1,Price at/above BB Upper (440.07),Paper
SONACOMS,2026-09-18,777.9,12,9334.8,2026-09-24,833.0,661.2,7.08,6,Price at/above BB Upper (829.28),Paper
MCX,2026-09-18,3211.2,3,9633.6,2026-09-25,3427.7,649.5,6.74,7,Price at/above BB Upper (3426.57),Paper
ABDL,2026-09-18,647.55,15,9713.25,2026-09-25,712.15,969.0,9.98,7,Price at/above BB Upper (684.58),Paper
CARBORUNIV,2026-09-24,1211.3,8,9690.4,2026-09-25,1296.5,681.6,7.03,1,Price at/above BB Upper (1252.35),Paper
