Symbol,EntryDate,EntryPrice,Quantity,Capital,ExitDate,ExitPrice,PnL,PnL%,DaysHeld,ExitReason,TrackType
PNBHOUSING,2026-09-18,1103.5,9,9931.5,2026-09-22,1133.1,266.4,2.68,4,9EMA crossed below 30EMA (1144.35 < 1144.95),Paper
SOLARINDS,2026-09-18,18815.0,1,18815.0,2026-09-22,18555.0,-260.0,-1.38,4,9EMA crossed below 30EMA (20067.58 < 20182.82),Paper
BAJAJ-AUTO,2026-09-18,11593.0,1,11593.0,2026-09-22,11414.0,-179.0,-1.54,4,9EMA crossed below 30EMA (11609.61 < 11626.68),Paper
KAJARIACER,2026-09-18,1215.9,8,9727.2,2026-09-22,1202.7,-105.6,-1.09,4,9EMA crossed below 30EMA (1221.5 < 1222.37),Paper
GVT&D,2026-09-18,4341.0,2,8682.0,2026-09-23,4348.0,14.0,0.16,5,9EMA crossed below 30EMA (4382.24 < 4385.94),Paper
OFSS,2026-09-18,11620.0,1,11620.0,2026-09-23,10989.0,-631.0,-5.43,5,9EMA crossed below 30EMA (11473.77 < 11638.04),Paper
ZYDUSWELL,2026-09-18,546.15,18,9830.7,2026-09-23,520.55,-460.8,-4.69,5,9EMA crossed below 30EMA (536.84 < 537.63),Paper
PFOCUS,2026-09-22,344.35,29,9986.15,2026-09-23,352.65,240.7,2.41,1,Price at/above BB Upper (346.48),Paper
APARINDS,2026-09-22,18858.0,1,18858.0,2026-09-23,18945.0,87.0,0.46,1,Price at/above BB Upper (18690.42),Paper
MAHABANK,2026-09-22,83.54,119,9941.26,2026-09-23,82.4,-135.66,-1.36,1,9EMA crossed below 30EMA (82.47 < 82.51),Paper
FLUOROCHEM,2026-09-18,4471.8,2,8943.6,2026-09-24,4487.2,30.8,0.34,6,9EMA crossed below 30EMA (4582.86 < 4591.78),Paper
KPRMILL,2026-09-18,1121.4,8,8971.2,2026-09-24,1120.8,-4.8,-0.05,6,9EMA crossed below 30EMA (1125.28 < 1125.35),Paper
ENGINERSIN,2026-09-23,302.55,33,9984.15,2026-09-24,306.2,120.45,1.21,1,Price at/above BB Upper (301.51),Paper
USHAMART,2026-09-23,531.3,18,9563.4,2026-09-24,535.05,67.5,0.71,1,Price at/above BB Upper (533.87),Paper
JSWINFRA,2026-09-23,367.6,27,9925.2,2026-09-24,363.6,-108.0,-1.09,1,Price at/above BB Upper (361.78),Paper
BELRISE,2026-09-23,244.74,40,9789.6,2026-09-24,249.78,201.6,2.06,1,Price at/above BB Upper (246.0),Paper
ACMESOLAR,2026-09-23,458.1,21,9620.1,2026-09-24,458.65,11.55,0.12,1,Price at/above BB Upper (449.51),Paper
CARBORUNIV,2026-09-23,1211.3,8,9690.4,2026-09-24,1211.3,0.0,0.0,1,Price at/above BB Upper (1179.46),Paper
NIACL,2026-09-18,197.05,50,9852.5,2026-09-25,180.4,-832.5,-8.45,7,9EMA crossed below 30EMA (189.3 < 190.43),Paper
IDEA,2026-09-18,14.22,703,9996.66,2026-09-25,14.12,-70.3,-0.7,7,9EMA crossed below 30EMA (14.33 < 14.34),Paper
TATACOMM,2026-09-18,1799.3,5,8996.5,2026-09-25,1670.0,-646.5,-7.19,7,9EMA crossed below 30EMA (1724.37 < 1738.7),Paper
ABSLAMC,2026-09-18,1090.1,9,9810.9,2026-09-25,1026.6,-571.5,-5.83,7,9EMA crossed below 30EMA (1048.82 < 1048.95),Paper
PFOCUS,2026-09-23,352.65,28,9874.2,2026-09-25,318.75,-949.2,-9.61,2,"Trailing stop hit (326.52, high since entry 362.79998779296875)",Paper
BELRISE,2026-09-24,249.78,40,9991.2,2026-09-25,249.78,0.0,0.0,1,Price at/above BB Upper (246.0),Paper
